# Edited version of McConnachie (2012, AJ, 144, 4).
name,RA,Dec,EB-V,distmod,distmod_err_plus,distmod_err_minus,MHI,logLV
IC 1613,1  4 47.8,2  7  4,0.025,24.39,0.12,0.12,65000000.0,8.008000000000001
Phoenix,1 51  6.3,-44 26 41,0.016,23.09,0.1,0.1,120000.0,5.888
Eridanus 2,3 44 21.1,-43 32 00,9.999,22.9,0.2,0.2,-1.0,4.571999999999999
NGC 6822,19 44 56.6,-14 47 21,0.231,23.31,0.08,0.08,130000000.0,8.016
Cetus,0 26 11.0,-11  2 40,0.029,24.39,0.07,0.07,0.0,6.448
Pegasus dIrr,23 28 36.3,14 44 35,0.068,24.82,0.07,0.07,5900000.0,6.82
Leo T,9 34 53.4,17  3  5,0.031,23.1,0.1,0.1,280000.0,5.132000000000001
WLM,0  1 58.2,-15 27 39,0.038,24.85,0.08,0.08,61000000.0,7.632000000000001
Andromeda XVIII,0  2 14.5,45  5 20,0.106,25.42,0.07,0.08,-1.0,5.700000000000001
Leo A,9 59 26.5,30 44 47,0.021,24.51,0.12,0.12,11000000.0,6.776000000000001
Aquarius,20 46 51.8,-12 50 53,0.051,25.15,0.08,0.08,4099999.9999999995,6.191999999999999
Tucana,22 41 49.6,-64 25 10,0.031,24.74,0.12,0.12,0.0,5.747999999999999
Sagittarius dIrr,19 29 59.0,-17 40 51,0.124,25.14,0.18,0.18,8800000.0,6.548
UGC 4879,9 16  2.2,52 50 24,0.016,25.67,0.04,0.04,950000.0,6.920000000000002
Antlia B,09 48 56.1,-25 59 24,0.069,25.56,0.16,0.16,280000.0,5.795999999999999
NGC 3109,10  3  6.9,-26  9 35,0.067,25.57,0.08,0.08,450000000.0,7.880000000000001
Sextans B,10  0  0.1,5 19 56,0.031,25.77,0.03,0.03,51000000.0,7.719999999999999
Antlia,10  4  4.1,-27 19 52,0.079,25.65,0.1,0.1,730000.0,6.112
Sextans A,10 11  0.8,-4 41 34,0.045,25.78,0.08,0.08,77000000.0,7.644
HIZSS 3(A),7  0 29.3,-4 12 30,1.013,26.12,0.14,0.14,14000000.0,-27.580000000000002
HIZSS 3B,7  0 29.3,-4 12 30,1.013,26.12,0.14,0.14,2600000.0,-27.580000000000002
Leo P,10 21 45.1,18 05 17,0.108,26.05,0.2,0.2,940000.0,5.5920000000000005
ESO 410- G 005,0 15 31.6,-32 10 48,0.014,26.42,0.04,0.04,730000.0,6.540000000000001
KKR 25,16 13 48.0,54 22 16,0.009,26.42,0.07,0.07,-1.0,6.300000000000001
NGC 55,0 14 53.6,-39 11 48,0.013,26.43,0.12,0.12,1300000000.0,9.344
ESO 294- G 010,0 26 33.4,-41 51 19,0.006,26.54,0.04,0.04,340000.0,6.428
NGC 300,0 54 53.5,-37 41  4,0.013,26.59,0.06,0.06,1800000000.0,9.328
IC 5152,22  2 41.5,-51 17 47,0.025,26.45,0.05,0.05,87000000.0,8.152
KKH 98,23 45 34.0,38 43  4,0.123,27.01,0.09,0.09,6600000.0,6.656000000000001
UKS 2323-326,23 26 27.5,-32 23 20,0.015,26.72,0.09,0.09,17000000.0,7.219999999999999
KK 258,22 40 43.9,-30 47 59,0.011,26.85,0.07,0.07,-1.0,6.152
KKR 3,14  7 10.5,35  3 37,0.014,26.7,0.12,0.12,2500000.0,5.732
KKs3,2 24 44.4,-73 30 51,0.045,26.63,0.07,0.07,-1.0,6.784000000000001
